interface	model	test	replicate	value	time
GLPK_CMD	iLJ478	LP	6	0.177303	0.03697800636291504
GLPK_CMD	iLJ478	MILP	6	5.0	0.16213583946228027
COIN_CMD	iLJ478	LP	6	0.17730338	0.04571270942687988
COIN_CMD	iLJ478	MILP	6	5.0	0.8370099067687988
CPLEX_PY	iLJ478	LP	7	0.1773033816015399	0.021441936492919922
CPLEX_PY	iLJ478	MILP	7	5.0	0.04377484321594238
GUROBI	iLJ478	LP	7	0.17730338160154036	0.013939380645751953
GUROBI	iLJ478	MILP	7	5.0	0.05289101600646973
SCIP_CMD	iLJ478	LP	7	0.17730338160154	0.07707977294921875
SCIP_CMD	iLJ478	MILP	7	5.0	0.13347101211547852
HiGHS_CMD	iLJ478	LP	7	0.1773033816015	0.03763294219970703
HiGHS_CMD	iLJ478	MILP	7	5.0	0.17777705192565918
GLPK_CMD	iLJ478	LP	7	0.177303	0.03690600395202637
GLPK_CMD	iLJ478	MILP	7	5.0	0.16123390197753906
COIN_CMD	iLJ478	LP	7	0.17730338	0.04562187194824219
COIN_CMD	iLJ478	MILP	7	5.0	0.8336718082427979
CPLEX_PY	iLJ478	LP	8	0.1773033816015399	0.021371126174926758
CPLEX_PY	iLJ478	MILP	8	5.0	0.0463559627532959
GUROBI	iLJ478	LP	8	0.17730338160154036	0.01425480842590332
GUROBI	iLJ478	MILP	8	5.0	0.05056285858154297
SCIP_CMD	iLJ478	LP	8	0.17730338160154	0.07728004455566406
SCIP_CMD	iLJ478	MILP	8	5.0	0.13346409797668457
HiGHS_CMD	iLJ478	LP	8	0.1773033816015	0.03680276870727539
HiGHS_CMD	iLJ478	MILP	8	5.0	0.17682170867919922
GLPK_CMD	iLJ478	LP	8	0.177303	0.03688979148864746
GLPK_CMD	iLJ478	MILP	8	5.0	0.1595299243927002
COIN_CMD	iLJ478	LP	8	0.17730338	0.04485201835632324
COIN_CMD	iLJ478	MILP	8	5.0	0.8677830696105957
CPLEX_PY	iLJ478	LP	9	0.1773033816015399	0.02126598358154297
CPLEX_PY	iLJ478	MILP	9	5.0	0.04542183876037598
GUROBI	iLJ478	LP	9	0.17730338160154036	0.014134883880615234
GUROBI	iLJ478	MILP	9	5.0	0.05172300338745117
SCIP_CMD	iLJ478	LP	9	0.17730338160154	0.07775592803955078
SCIP_CMD	iLJ478	MILP	9	5.0	0.13419222831726074
HiGHS_CMD	iLJ478	LP	9	0.1773033816015	0.037322998046875
HiGHS_CMD	iLJ478	MILP	9	5.0	0.17763209342956543
GLPK_CMD	iLJ478	LP	9	0.177303	0.036434173583984375
GLPK_CMD	iLJ478	MILP	9	5.0	0.16225290298461914
COIN_CMD	iLJ478	LP	9	0.17730338	0.04589509963989258
COIN_CMD	iLJ478	MILP	9	5.0	0.8568499088287354
CPLEX_PY	iCN718	LP	0	0.23894922467506674	0.02555680274963379
CPLEX_PY	iCN718	MILP	0	3.0	0.05517697334289551
GUROBI	iCN718	LP	0	0.2389492246750792	0.021467924118041992
GUROBI	iCN718	MILP	0	3.0	0.0870978832244873
SCIP_CMD	iCN718	LP	0	0.238949224675067	0.0975651741027832
SCIP_CMD	iCN718	MILP	0	3.0	0.22868776321411133
HiGHS_CMD	iCN718	LP	0	0.2389492246751	0.05863308906555176
HiGHS_CMD	iCN718	MILP	0	3.0	0.5224158763885498
GLPK_CMD	iCN718	LP	0	0.238949	0.04939413070678711
GLPK_CMD	iCN718	MILP	0	3.0	0.3656129837036133
COIN_CMD	iCN718	LP	0	0.23893908	0.06054186820983887
COIN_CMD	iCN718	MILP	0	3.0	2.5389180183410645
CPLEX_PY	iCN718	LP	1	0.23894922467506674	0.025557994842529297
CPLEX_PY	iCN718	MILP	1	3.0	0.05672192573547363
GUROBI	iCN718	LP	1	0.2389492246750792	0.020106077194213867
GUROBI	iCN718	MILP	1	3.0	0.0848541259765625
