interface	replicate	value	time
GUROBI	34	6.0	0.5161190032958984
SCIP_CMD	34	6.0	2.5191500186920166
HiGHS_CMD	34	6.0	4.153061866760254
CPLEX_PY	35	8.0	0.6201419830322266
GUROBI	35	7.999999274160726	0.6272971630096436
SCIP_CMD	35	8.0	4.8938820362091064
HiGHS_CMD	35	8.0	6.139771938323975
CPLEX_PY	36	7.0	0.5387048721313477
GUROBI	36	7.0	0.6464099884033203
SCIP_CMD	36	7.0	3.1399829387664795
HiGHS_CMD	36	7.0	5.686287879943848
CPLEX_PY	37	7.0	0.5500340461730957
GUROBI	37	7.0	0.787376880645752
SCIP_CMD	37	7.0	4.070104598999023
HiGHS_CMD	37	6.9999999999983995	6.642315864562988
CPLEX_PY	38	8.0	0.6706359386444092
GUROBI	38	8.0	0.4182698726654053
SCIP_CMD	38	8.0	7.68510365486145
HiGHS_CMD	38	8.0	5.594778060913086
CPLEX_PY	39	6.0	0.8690078258514404
GUROBI	39	6.0	0.9297549724578857
SCIP_CMD	39	6.0	1.5191049575805664
HiGHS_CMD	39	6.0	6.027102947235107
CPLEX_PY	40	7.0	0.577876091003418
GUROBI	40	7.0	0.45792722702026367
SCIP_CMD	40	7.0	4.83693528175354
HiGHS_CMD	40	7.0	4.6253321170806885
CPLEX_PY	41	7.0	0.8320968151092529
GUROBI	41	7.0	0.543450117111206
SCIP_CMD	41	7.0	2.9764909744262695
HiGHS_CMD	41	7.0	4.871673107147217
CPLEX_PY	42	7.0	0.5710170269012451
GUROBI	42	7.0	0.5576198101043701
SCIP_CMD	42	7.0	4.099669933319092
HiGHS_CMD	42	7.0	4.653239965438843
CPLEX_PY	43	7.0	0.5179829597473145
GUROBI	43	7.0	0.4322969913482666
SCIP_CMD	43	7.0	4.787348985671997
HiGHS_CMD	43	7.0	2.569093942642212
CPLEX_PY	44	7.0	0.6775448322296143
GUROBI	44	7.0	1.2082350254058838
SCIP_CMD	44	7.0	3.9700777530670166
HiGHS_CMD	44	7.0	1.963137149810791
CPLEX_PY	45	7.0	0.5230648517608643
GUROBI	45	7.0	0.5716769695281982
SCIP_CMD	45	7.0	1.3012199401855469
HiGHS_CMD	45	7.0	2.6074979305267334
CPLEX_PY	46	6.0	0.5070497989654541
GUROBI	46	6.0	0.8274917602539062
SCIP_CMD	46	6.0	6.256489992141724
HiGHS_CMD	46	6.0	1.6155431270599365
CPLEX_PY	47	5.999999999999999	0.6114399433135986
GUROBI	47	6.0	1.0086281299591064
SCIP_CMD	47	6.0	1.6453349590301514
HiGHS_CMD	47	6.0	5.6169610023498535
CPLEX_PY	48	6.0	0.7555177211761475
GUROBI	48	6.0	0.8099870681762695
SCIP_CMD	48	6.0	3.92450213432312
HiGHS_CMD	48	6.0	6.007909059524536
CPLEX_PY	49	6.000000000000001	0.9635231494903564
GUROBI	49	6.0	0.669036865234375
SCIP_CMD	49	6.0	6.4128546714782715
HiGHS_CMD	49	6.0	6.8056559562683105
CPLEX_PY	50	7.0	0.5497541427612305
GUROBI	50	7.0	0.554628849029541
SCIP_CMD	50	7.0	1.895887851715088
HiGHS_CMD	50	7.0	3.921539068222046
CPLEX_PY	51	8.0	0.4944746494293213
GUROBI	51	8.0	1.0151960849761963
SCIP_CMD	51	8.0	4.110255241394043
HiGHS_CMD	51	8.0	6.530121326446533
CPLEX_PY	52	6.0	0.8458621501922607
GUROBI	52	6.0	0.9677948951721191
SCIP_CMD	52	6.0	4.3694748878479
HiGHS_CMD	52	6.0	4.847563028335571
CPLEX_PY	53	6.0	0.7996771335601807
GUROBI	53	6.0	0.7074849605560303
SCIP_CMD	53	6.0	6.179237127304077
HiGHS_CMD	53	6.0	6.581454038619995
CPLEX_PY	54	7.0	0.7906448841094971
GUROBI	54	7.0	0.7020759582519531
SCIP_CMD	54	7.0	2.1062347888946533
HiGHS_CMD	54	7.0	4.136675119400024
CPLEX_PY	55	5.999999999	0.8534929752349854
GUROBI	55	6.0	0.8219740390777588
SCIP_CMD	55	6.0	5.2374162673950195
HiGHS_CMD	55	6.0	5.979589939117432
CPLEX_PY	56	7.0	0.5219419002532959
GUROBI	56	7.0	0.44499993324279785
SCIP_CMD	56	7.0	2.529470920562744
HiGHS_CMD	56	7.0	2.5420000553131104
CPLEX_PY	57	6.0	0.8957259654998779
GUROBI	57	6.0	0.5395400524139404
SCIP_CMD	57	6.0	4.143141984939575
HiGHS_CMD	57	6.0	4.962041139602661
CPLEX_PY	58	6.000000000000001	0.9178919792175293
GUROBI	58	6.0	0.41573286056518555
SCIP_CMD	58	6.0	3.065262794494629
HiGHS_CMD	58	6.0	6.532933950424194
CPLEX_PY	59	7.0	0.7493720054626465
GUROBI	59	7.0	0.38689398765563965
SCIP_CMD	59	7.0	1.6275060176849365
HiGHS_CMD	59	7.0	4.159522771835327
CPLEX_PY	60	7.0	0.4806711673736572
GUROBI	60	7.0	0.5229067802429199
SCIP_CMD	60	7.0	2.8668179512023926
HiGHS_CMD	60	7.0	4.881665945053101
CPLEX_PY	61	7.0	0.7670798301696777
GUROBI	61	7.0	0.8205270767211914
SCIP_CMD	61	7.0	7.337133169174194
HiGHS_CMD	61	7.0	5.105151891708374
CPLEX_PY	62	7.0	0.690277099609375
GUROBI	62	7.0	0.6218340396881104
SCIP_CMD	62	7.0	1.8380427360534668
HiGHS_CMD	62	7.0	5.609338283538818
CPLEX_PY	63	6.0	0.771414041519165
GUROBI	63	6.0	0.8972480297088623
SCIP_CMD	63	6.0	1.8172011375427246
HiGHS_CMD	63	6.0	4.724786758422852
CPLEX_PY	64	6.0	0.57771897315979
GUROBI	64	6.0	0.3863859176635742
SCIP_CMD	64	6.0	3.884762763977051
HiGHS_CMD	64	6.0	4.366074800491333
CPLEX_PY	65	7.0	0.543748140335083
GUROBI	65	7.0	0.5696289539337158
SCIP_CMD	65	7.0	2.5601630210876465
HiGHS_CMD	65	6.9999999999825	6.313143968582153
CPLEX_PY	66	6.0	0.774895191192627
GUROBI	66	6.0	0.6902070045471191
SCIP_CMD	66	6.0	1.768075942993164
HiGHS_CMD	66	6.0	5.458638906478882
CPLEX_PY	67	6.0	0.9237098693847656
GUROBI	67	6.0	0.655742883682251
SCIP_CMD	67	6.0	3.5749659538269043
HiGHS_CMD	67	6.0	6.518309831619263
CPLEX_PY	68	7.0	0.826495885848999
GUROBI	68	7.0	0.6147451400756836
SCIP_CMD	68	7.0	2.094114065170288
HiGHS_CMD	68	7.0	4.7031331062316895
CPLEX_PY	69	6.0	0.8611021041870117
GUROBI	69	6.0	0.5971691608428955
SCIP_CMD	69	6.0	1.9773073196411133
HiGHS_CMD	69	6.0	4.904644250869751
CPLEX_PY	70	6.0	0.7603549957275391
GUROBI	70	6.0	1.1626858711242676
SCIP_CMD	70	6.0	10.28273892402649
HiGHS_CMD	70	6.0	5.4972569942474365
CPLEX_PY	71	6.0	1.1044819355010986
GUROBI	71	6.0	0.6740081310272217
SCIP_CMD	71	6.0	3.062225818634033
HiGHS_CMD	71	6.0	2.479984760284424
CPLEX_PY	72	7.0	1.080265998840332
GUROBI	72	7.0	0.6789498329162598
SCIP_CMD	72	7.0	2.6087019443511963
HiGHS_CMD	72	7.0	5.381373405456543
CPLEX_PY	73	7.0	0.7102711200714111
GUROBI	73	7.0	0.6083920001983643
SCIP_CMD	73	7.0	4.837651014328003
HiGHS_CMD	73	7.0	4.6683008670806885
CPLEX_PY	74	5.999999999999915	0.7025871276855469
GUROBI	74	6.0	0.5984141826629639
SCIP_CMD	74	6.0	3.461779832839966
HiGHS_CMD	74	6.0	3.328446388244629
CPLEX_PY	75	6.999999999	0.5957391262054443
GUROBI	75	7.0	0.8726091384887695
SCIP_CMD	75	7.0	3.8134052753448486
HiGHS_CMD	75	7.0	5.408680200576782
CPLEX_PY	76	6.0	0.7733807563781738
GUROBI	76	6.0	0.585148811340332
SCIP_CMD	76	6.0	2.361870050430298
HiGHS_CMD	76	6.0	4.301058769226074
CPLEX_PY	77	7.0	0.9283139705657959
GUROBI	77	7.0	0.5406558513641357
SCIP_CMD	77	7.0	10.061244010925293
HiGHS_CMD	77	6.9999999999714	7.712152004241943
CPLEX_PY	78	7.0	0.7249388694763184
GUROBI	78	7.0	0.5611848831176758
SCIP_CMD	78	7.0	2.9704129695892334
HiGHS_CMD	78	7.0	3.995067834854126
CPLEX_PY	79	6.0	1.0721909999847412
GUROBI	79	6.0	0.6395587921142578
SCIP_CMD	79	6.0	4.730162858963013
HiGHS_CMD	79	6.0	7.036123991012573
CPLEX_PY	81	7.0	0.6700809001922607
GUROBI	81	7.0	0.5253250598907471
SCIP_CMD	81	7.0	1.9349381923675537
HiGHS_CMD	81	7.0	1.9913640022277832
CPLEX_PY	82	5.9999999939999995	0.7119131088256836
GUROBI	82	6.0	0.980151891708374
SCIP_CMD	82	6.0	4.347682237625122
HiGHS_CMD	82	6.0	6.776907205581665
CPLEX_PY	83	6.0	0.7156500816345215
GUROBI	83	6.0	0.5826821327209473
SCIP_CMD	83	6.0	1.8586368560791016
HiGHS_CMD	83	6.0	4.554211139678955
CPLEX_PY	84	7.0	0.6018471717834473
GUROBI	84	7.0	0.43438100814819336
SCIP_CMD	84	7.0	3.113219976425171
HiGHS_CMD	84	7.0	2.936540126800537
CPLEX_PY	85	5.999999999	0.8895721435546875
GUROBI	85	6.0	1.4232351779937744
SCIP_CMD	85	6.0	3.834868907928467
HiGHS_CMD	85	5.9999999999963	7.134523868560791
CPLEX_PY	86	6.0	0.9136319160461426
GUROBI	86	6.0	0.8338718414306641
SCIP_CMD	86	6.0	3.1046159267425537
HiGHS_CMD	86	6.0	4.413475036621094
CPLEX_PY	87	6.0	0.8268649578094482
GUROBI	87	6.0	0.5634219646453857
SCIP_CMD	87	6.0	7.542025804519653
HiGHS_CMD	87	6.0	4.995091915130615
CPLEX_PY	88	8.0	0.4383509159088135
GUROBI	88	8.0	0.910876989364624
SCIP_CMD	88	8.0	6.7037177085876465
HiGHS_CMD	88	8.0	6.589150905609131
CPLEX_PY	89	5.999999999999999	0.7662739753723145
GUROBI	89	6.0	0.7034010887145996
SCIP_CMD	89	6.0	1.420335054397583
HiGHS_CMD	89	6.0	4.85925817489624
CPLEX_PY	90	6.0	0.5961201190948486
GUROBI	90	6.0	0.6724281311035156
SCIP_CMD	90	6.0	3.642515182495117
HiGHS_CMD	90	6.0	4.527139186859131
CPLEX_PY	92	6.0	0.6077940464019775
GUROBI	92	6.0	0.6629860401153564
SCIP_CMD	92	6.0	1.788355827331543
HiGHS_CMD	92	6.0	5.126115083694458
CPLEX_PY	93	6.0	0.8455722332000732
GUROBI	93	6.0	0.44701409339904785
SCIP_CMD	93	6.0	1.449955940246582
HiGHS_CMD	93	6.0	6.486642837524414
CPLEX_PY	94	6.0	0.7759549617767334
GUROBI	94	6.0	0.7105011940002441
SCIP_CMD	94	6.0	2.2141571044921875
HiGHS_CMD	94	6.0	3.1434919834136963
CPLEX_PY	95	6.0	0.7055196762084961
GUROBI	95	6.0	0.5584149360656738
SCIP_CMD	95	6.0	1.075474739074707
HiGHS_CMD	95	6.0	2.8491218090057373
CPLEX_PY	96	5.999999999999999	0.857457160949707
GUROBI	96	6.0	0.6594817638397217
SCIP_CMD	96	6.0	10.289344072341919
