interface,size,rep,time,value,rel
SCIP_CMD,1,6,0.10358595848083496,5.28666232144982,0.10358595848083496
HiGHS_CMD,1,6,0.05553102493286133,5.2866623214552,0.05553102493286133
GLPK_CMD,1,6,0.05328989028930664,5.28666,0.05328989028930664
COIN_CMD,1,6,0.06242203712463379,5.2866589,0.06242203712463379
CPLEX_PY,1,7,0.053156137466430664,16.472302439052825,0.053156137466430664
GUROBI,1,7,0.030577898025512695,16.472302439052797,0.030577898025512695
SCIP_CMD,1,7,0.14308619499206543,16.4723024390346,0.14308619499206543
HiGHS_CMD,1,7,0.08487486839294434,16.4723024390475,0.08487486839294434
GLPK_CMD,1,7,0.07012724876403809,16.4723,0.07012724876403809
COIN_CMD,1,7,0.07720613479614258,16.472302,0.07720613479614258
CPLEX_PY,1,8,0.04992270469665527,1.2353310264338846,0.04992270469665527
GUROBI,1,8,0.03249692916870117,1.2353310264338857,0.03249692916870117
SCIP_CMD,1,8,0.14286494255065918,1.23533102643274,0.14286494255065918
HiGHS_CMD,1,8,0.0834503173828125,1.2353310264338,0.0834503173828125
GLPK_CMD,1,8,0.07108521461486816,1.23533,0.07108521461486816
COIN_CMD,1,8,0.07989501953125,1.2353299,0.07989501953125
CPLEX_PY,1,9,0.04857206344604492,24.19267123141501,0.04857206344604492
GUROBI,1,9,0.028575897216796875,24.192671231415005,0.028575897216796875
SCIP_CMD,1,9,0.14095497131347656,24.1926712313719,0.14095497131347656
HiGHS_CMD,1,9,0.07105588912963867,24.1926712314077,0.07105588912963867
GLPK_CMD,1,9,0.07137703895568848,24.1927,0.07137703895568848
COIN_CMD,1,9,0.07930612564086914,24.192674,0.07930612564086914
CPLEX_PY,2,0,0.08116674423217773,49.37246448955067,0.04058337211608887
GUROBI,2,0,0.05113506317138672,49.372464489551895,0.02556753158569336
SCIP_CMD,2,0,0.22207999229431152,49.3724644893924,0.11103999614715576
HiGHS_CMD,2,0,0.11403870582580566,49.3724644895057,0.05701935291290283
GLPK_CMD,2,0,0.12167501449584961,49.3725,0.060837507247924805
COIN_CMD,2,0,0.12675881385803223,49.372464,0.06337940692901611
CPLEX_PY,2,1,0.11034870147705078,27.135559916741506,0.05517435073852539
GUROBI,2,1,0.0677340030670166,27.135559916741464,0.0338670015335083
SCIP_CMD,2,1,0.27892303466796875,27.135559916727,0.13946151733398438
HiGHS_CMD,2,1,0.14877891540527344,27.1355599167391,0.07438945770263672
GLPK_CMD,2,1,0.14570975303649902,27.1356,0.07285487651824951
COIN_CMD,2,1,0.1463148593902588,27.135561,0.0731574296951294
CPLEX_PY,2,2,0.07373976707458496,9.818280998339691,0.03686988353729248
GUROBI,2,2,0.04474687576293945,9.81828099833973,0.022373437881469727
SCIP_CMD,2,2,0.22057414054870605,9.81828099831024,0.11028707027435303
HiGHS_CMD,2,2,0.11821985244750977,9.8182809983345,0.05910992622375488
GLPK_CMD,2,2,0.10809111595153809,9.81828,0.05404555797576904
COIN_CMD,2,2,0.1249847412109375,9.8182026,0.06249237060546875
CPLEX_PY,2,3,0.11021113395690918,25.545854505148995,0.05510556697845459
GUROBI,2,3,0.06894421577453613,25.545854505148938,0.034472107887268066
SCIP_CMD,2,3,0.2796361446380615,25.5458545051119,0.13981807231903076
HiGHS_CMD,2,3,0.15139174461364746,25.5458545051419,0.07569587230682373
GLPK_CMD,2,3,0.16032195091247559,25.5459,0.08016097545623779
COIN_CMD,2,3,0.18207526206970215,25.545854,0.09103763103485107
CPLEX_PY,2,4,0.12670397758483887,10.075064471407766,0.06335198879241943
GUROBI,2,4,0.07098102569580078,10.075064471407766,0.03549051284790039
SCIP_CMD,2,4,0.2933497428894043,10.0750644713951,0.14667487144470215
HiGHS_CMD,2,4,0.1539289951324463,10.0750644714057,0.07696449756622314
GLPK_CMD,2,4,0.161729097366333,10.0751,0.0808645486831665
COIN_CMD,2,4,0.18180108070373535,10.074985,0.09090054035186768
CPLEX_PY,2,5,0.09805488586425781,52.902044959440396,0.049027442932128906
GUROBI,2,5,0.057444095611572266,52.902044959440396,0.028722047805786133
SCIP_CMD,2,5,0.2535741329193115,52.9020449595644,0.12678706645965576
HiGHS_CMD,2,5,0.1453251838684082,52.9020449594524,0.0726625919342041
GLPK_CMD,2,5,0.11797571182250977,52.902,0.05898785591125488
COIN_CMD,2,5,0.13451576232910156,52.902045,0.06725788116455078
CPLEX_PY,2,6,0.08647871017456055,9.420263145254934,0.04323935508728027
GUROBI,2,6,0.05051898956298828,9.42026314525492,0.02525949478149414
SCIP_CMD,2,6,0.21725702285766602,9.42026314524385,0.10862851142883301
HiGHS_CMD,2,6,0.11371016502380371,9.4202631452531,0.056855082511901855
GLPK_CMD,2,6,0.11156988143920898,9.42026,0.05578494071960449
COIN_CMD,2,6,0.12074685096740723,9.420265,0.06037342548370361
CPLEX_PY,2,7,0.08439397811889648,10.971276860422341,0.04219698905944824
GUROBI,2,7,0.052703857421875,10.971276860422341,0.0263519287109375
SCIP_CMD,2,7,0.21375107765197754,10.9712768604147,0.10687553882598877
HiGHS_CMD,2,7,0.12149715423583984,10.9712768604211,0.06074857711791992
GLPK_CMD,2,7,0.12363529205322266,10.9713,0.06181764602661133
COIN_CMD,2,7,0.12029910087585449,10.971276,0.060149550437927246
CPLEX_PY,2,8,0.10267066955566406,27.089920073083007,0.05133533477783203
GUROBI,2,8,0.06628084182739258,27.089920073082993,0.03314042091369629
SCIP_CMD,2,8,0.2853739261627197,27.0899200730881,0.14268696308135986
HiGHS_CMD,2,8,0.14782214164733887,27.0899200730818,0.07391107082366943
GLPK_CMD,2,8,0.15468621253967285,27.0899,0.07734310626983643
COIN_CMD,2,8,0.38809990882873535,27.083661,0.19404995441436768
CPLEX_PY,2,9,0.08382487297058105,8.997842189059392,0.04191243648529053
GUROBI,2,9,0.05842876434326172,8.997842189059389,0.02921438217163086
SCIP_CMD,2,9,0.23229503631591797,8.99784218904328,0.11614751815795898
HiGHS_CMD,2,9,0.12616872787475586,8.9978421890561,0.06308436393737793
GLPK_CMD,2,9,0.12751007080078125,8.99784,0.06375503540039062
COIN_CMD,2,9,0.12653493881225586,8.9978457,0.06326746940612793
CPLEX_PY,3,0,0.13388586044311523,52.902044959440396,0.04462862014770508
GUROBI,3,0,0.2791781425476074,52.902044959440396,0.09305938084920247
SCIP_CMD,3,0,0.3626878261566162,52.9020449595644,0.1208959420522054
HiGHS_CMD,3,0,0.20865511894226074,52.9020449594524,0.06955170631408691
