interface	lpmethod	size	rep	time	value
CPLEX_PY	default	1	0	0.018389225006103516	2.5474172604911023
CPLEX_PY	primal	1	0	0.013529062271118164	2.5474172604911014
CPLEX_PY	dual	1	0	0.012108802795410156	2.5474172604911023
CPLEX_PY	barrier	1	0	0.019822120666503906	2.547417260491102
GUROBI	default	1	0	0.009640932083129883	2.5474172604910996
GUROBI	primal	1	0	0.008814096450805664	2.5474172604910996
GUROBI	dual	1	0	0.008587837219238281	2.5474172604910996
GUROBI	barrier	1	0	0.011147022247314453	2.547417260491103
SCIP_CMD	default	1	0	0.10161304473876953	2.54741726049415
SCIP_CMD	primal	1	0	0.06395792961120605	2.54741726049415
SCIP_CMD	dual	1	0	0.06402802467346191	2.54741726049415
HiGHS_CMD	default	1	0	0.047918081283569336	2.5474172604905
HiGHS_CMD	primal	1	0	0.03249502182006836	2.5474172604905
HiGHS_CMD	dual	1	0	0.03203582763671875	2.5474172604905
HiGHS_CMD	barrier	1	0	0.03769993782043457	2.5474172604905
GLPK_CMD	default	1	0	0.03531503677368164	2.54742
GLPK_CMD	primal	1	0	0.02931499481201172	2.54742
GLPK_CMD	dual	1	0	0.029564857482910156	2.54742
GLPK_CMD	barrier	1	0	0.03301882743835449	
CPLEX_PY	default	1	1	0.02907538414001465	0.5299931751112628
CPLEX_PY	primal	1	1	0.02767181396484375	0.5299931751112625
CPLEX_PY	dual	1	1	0.02782893180847168	0.5299931751112628
CPLEX_PY	barrier	1	1	0.03953409194946289	0.5299931751112629
GUROBI	default	1	1	0.025304079055786133	0.5299931751112632
GUROBI	primal	1	1	0.05552387237548828	0.5299931751112624
GUROBI	dual	1	1	0.020530223846435547	0.5299931751112633
GUROBI	barrier	1	1	0.025655031204223633	0.5299931751112632
SCIP_CMD	default	1	1	0.11232590675354004	0.529993175110314
SCIP_CMD	primal	1	1	0.11084699630737305	0.529993175110314
SCIP_CMD	dual	1	1	0.10666990280151367	0.529993175110314
HiGHS_CMD	default	1	1	0.08140110969543457	0.5299931751111
HiGHS_CMD	primal	1	1	0.05882596969604492	0.5299931751111
HiGHS_CMD	dual	1	1	0.06353187561035156	0.5299931751111
HiGHS_CMD	barrier	1	1	0.06392669677734375	0.5299931751111
GLPK_CMD	default	1	1	0.04966092109680176	0.529993
GLPK_CMD	primal	1	1	0.049813032150268555	0.529993
GLPK_CMD	dual	1	1	0.0518488883972168	0.529993
GLPK_CMD	barrier	1	1	0.07184004783630371	
CPLEX_PY	default	1	2	0.02844524383544922	16.832406134599253
CPLEX_PY	primal	1	2	0.029024839401245117	16.832406134599253
CPLEX_PY	dual	1	2	0.02810192108154297	16.832406134599253
CPLEX_PY	barrier	1	2	0.04179787635803223	16.832406134599253
GUROBI	default	1	2	0.02516770362854004	16.832406134599253
GUROBI	primal	1	2	0.020758867263793945	16.832406134599253
GUROBI	dual	1	2	0.02083301544189453	16.832406134599253
GUROBI	barrier	1	2	0.025616884231567383	16.832406134599253
SCIP_CMD	default	1	2	0.11824178695678711	16.8324061346066
SCIP_CMD	primal	1	2	0.11679911613464355	16.8324061346066
SCIP_CMD	dual	1	2	0.11650800704956055	16.8324061346066
HiGHS_CMD	default	1	2	0.05772805213928223	16.8324061345987
HiGHS_CMD	primal	1	2	0.05959439277648926	16.8324061345987
HiGHS_CMD	dual	1	2	0.05795884132385254	16.8324061345987
HiGHS_CMD	barrier	1	2	0.06811189651489258	16.8324061345987
GLPK_CMD	default	1	2	0.05145096778869629	16.8324
GLPK_CMD	primal	1	2	0.0516200065612793	16.8324
GLPK_CMD	dual	1	2	0.06580114364624023	16.8324
GLPK_CMD	barrier	1	2	0.08688998222351074	
CPLEX_PY	default	1	3	0.0961759090423584	41.055362791072625
CPLEX_PY	primal	1	3	0.050958871841430664	41.05536279107262
CPLEX_PY	dual	1	3	0.05082583427429199	41.055362791072625
CPLEX_PY	barrier	1	3	0.08156800270080566	41.055362791072604
GUROBI	default	1	3	0.05034995079040527	41.05536279107264
GUROBI	primal	1	3	0.03939700126647949	41.055362791072625
GUROBI	dual	1	3	0.038912057876586914	41.05536279107265
GUROBI	barrier	1	3	0.050467729568481445	41.05536279107264
SCIP_CMD	default	1	3	0.17345690727233887	41.0553627910695
SCIP_CMD	primal	1	3	0.17503714561462402	41.0553627910695
SCIP_CMD	dual	1	3	0.1734929084777832	41.0553627910695
HiGHS_CMD	default	1	3	0.09147477149963379	41.0553627910714
HiGHS_CMD	primal	1	3	0.09852814674377441	41.0553627910714
HiGHS_CMD	dual	1	3	0.09142088890075684	41.0553627910714
HiGHS_CMD	barrier	1	3	0.1054840087890625	41.0553627910712
GLPK_CMD	default	1	3	0.08547091484069824	41.0554
GLPK_CMD	primal	1	3	0.08559322357177734	41.0554
GLPK_CMD	dual	1	3	0.12989091873168945	41.0554
GLPK_CMD	barrier	1	3	0.14290475845336914	
CPLEX_PY	default	1	4	0.03540396690368652	1.987921402957163
CPLEX_PY	primal	1	4	0.034256935119628906	1.9879214029571641
CPLEX_PY	dual	1	4	0.03435206413269043	1.987921402957163
CPLEX_PY	barrier	1	4	0.047853708267211914	1.987921402957163
GUROBI	default	1	4	0.031109094619750977	1.9879214029571624
GUROBI	primal	1	4	0.0246121883392334	1.9879214029571646
GUROBI	dual	1	4	0.024827957153320312	1.9879214029571646
GUROBI	barrier	1	4	0.03123617172241211	1.9879214029571624
SCIP_CMD	default	1	4	0.1344928741455078	1.98792140295555
SCIP_CMD	primal	1	4	0.13165497779846191	1.98792140295555
SCIP_CMD	dual	1	4	0.13090991973876953	1.98792140295555
