interface	lpmethod	size	rep	time	value
COIN_CMD	dual	1	3	0.08030200004577637	10.277476
COIN_CMD	barrier	1	3	0.09437274932861328	10.277476
CPLEX_PY	primal	1	4	0.04870128631591797	14.196359289735474
CPLEX_PY	dual	1	4	0.04714679718017578	14.196359289735474
CPLEX_PY	barrier	1	4	0.04654121398925781	14.196359289735474
GUROBI	primal	1	4	0.026986122131347656	14.196359289735513
GUROBI	dual	1	4	0.02742600440979004	14.196359289735456
GUROBI	barrier	1	4	0.039314985275268555	14.196359289735456
SCIP_CMD	primal	1	4	0.13623499870300293	14.1963592897144
SCIP_CMD	dual	1	4	0.13474416732788086	14.1963592897144
SCIP_CMD	barrier	1	4	0.13359308242797852	14.1963592897144
HiGHS_CMD	primal	1	4	0.07813787460327148	14.196359289732
HiGHS_CMD	dual	1	4	0.06911587715148926	14.1963592897319
HiGHS_CMD	barrier	1	4	0.08124375343322754	14.1963592897317
GLPK_CMD	primal	1	4	0.06815004348754883	14.1964
GLPK_CMD	dual	1	4	0.08811283111572266	14.1964
GLPK_CMD	barrier	1	4	0.10338592529296875	
COIN_CMD	primal	1	4	0.07364606857299805	14.196359
COIN_CMD	dual	1	4	0.08727288246154785	14.19636
COIN_CMD	barrier	1	4	0.08146786689758301	14.196359
CPLEX_PY	primal	1	5	0.04108285903930664	0.37521410270731587
CPLEX_PY	dual	1	5	0.04083609580993652	0.37521410270731587
CPLEX_PY	barrier	1	5	0.04039764404296875	0.37521410270731587
GUROBI	primal	1	5	0.024362802505493164	0.37521410270731576
GUROBI	dual	1	5	0.0247800350189209	0.3752141027073151
GUROBI	barrier	1	5	0.03711700439453125	0.3752141027073155
SCIP_CMD	primal	1	5	0.13168573379516602	0.375214102706952
SCIP_CMD	dual	1	5	0.13179683685302734	0.375214102706952
SCIP_CMD	barrier	1	5	0.1303720474243164	0.375214102706952
HiGHS_CMD	primal	1	5	0.06959199905395508	0.3752141027073
HiGHS_CMD	dual	1	5	0.06486082077026367	0.3752141027073
HiGHS_CMD	barrier	1	5	0.07326483726501465	0.3752141027073
GLPK_CMD	primal	1	5	0.0603787899017334	0.375214
GLPK_CMD	dual	1	5	0.08900690078735352	0.375214
GLPK_CMD	barrier	1	5	0.08990097045898438	
COIN_CMD	primal	1	5	0.07019281387329102	0.3752141
COIN_CMD	dual	1	5	0.0739750862121582	0.3752141
COIN_CMD	barrier	1	5	0.07993912696838379	0.3752141
CPLEX_PY	primal	1	6	0.04836583137512207	2.5759920667995155
CPLEX_PY	dual	1	6	0.0471949577331543	2.5759920667995155
CPLEX_PY	barrier	1	6	0.04707622528076172	2.5759920667995155
GUROBI	primal	1	6	0.027297019958496094	2.575992066799533
GUROBI	dual	1	6	0.028191089630126953	2.575992066799517
GUROBI	barrier	1	6	0.05240130424499512	2.5759920667995204
SCIP_CMD	primal	1	6	0.15621495246887207	2.57599206679293
SCIP_CMD	dual	1	6	0.1533958911895752	2.57599206679293
SCIP_CMD	barrier	1	6	0.1480567455291748	2.57599206679293
HiGHS_CMD	primal	1	6	0.07924723625183105	2.5759920667984
HiGHS_CMD	dual	1	6	0.06951189041137695	2.5759920667984
HiGHS_CMD	barrier	1	6	0.08135986328125	2.5759920667984
GLPK_CMD	primal	1	6	0.07357287406921387	2.57599
GLPK_CMD	dual	1	6	0.10065817832946777	2.57599
GLPK_CMD	barrier	1	6	0.10678291320800781	
COIN_CMD	primal	1	6	0.07462596893310547	2.5759921
COIN_CMD	dual	1	6	0.09523487091064453	2.5759917
COIN_CMD	barrier	1	6	0.0863189697265625	2.5759921
CPLEX_PY	primal	1	7	0.0428309440612793	3.3998427621205436
CPLEX_PY	dual	1	7	0.04181694984436035	3.3998427621205436
CPLEX_PY	barrier	1	7	0.04215669631958008	3.3998427621205436
GUROBI	primal	1	7	0.025415897369384766	3.399842762120547
GUROBI	dual	1	7	0.024811983108520508	3.399842762120547
GUROBI	barrier	1	7	0.031086206436157227	3.3998427621205374
SCIP_CMD	primal	1	7	0.13230609893798828	3.39984276211459
SCIP_CMD	dual	1	7	0.12923789024353027	3.39984276211459
SCIP_CMD	barrier	1	7	0.12962102890014648	3.39984276211459
HiGHS_CMD	primal	1	7	0.06913590431213379	3.3998427621191
HiGHS_CMD	dual	1	7	0.06649279594421387	3.3998427621191
HiGHS_CMD	barrier	1	7	0.07567000389099121	3.3998427621191
GLPK_CMD	primal	1	7	0.06491303443908691	3.39984
GLPK_CMD	dual	1	7	0.09059906005859375	3.39984
GLPK_CMD	barrier	1	7	0.09113907814025879	
COIN_CMD	primal	1	7	0.0710761547088623	3.3998428
COIN_CMD	dual	1	7	0.0819849967956543	3.3998526
COIN_CMD	barrier	1	7	0.08325386047363281	3.3998428
CPLEX_PY	primal	1	8	0.04924893379211426	6.436406738141718
CPLEX_PY	dual	1	8	0.048531293869018555	6.436406738141718
CPLEX_PY	barrier	1	8	0.04791593551635742	6.436406738141718
GUROBI	primal	1	8	0.030047893524169922	6.436406738141657
GUROBI	dual	1	8	0.029063940048217773	6.436406738141825
GUROBI	barrier	1	8	0.05241227149963379	6.436406738141817
SCIP_CMD	primal	1	8	0.15650725364685059	6.4364067381389
SCIP_CMD	dual	1	8	0.15343785285949707	6.4364067381389
SCIP_CMD	barrier	1	8	0.15075111389160156	6.4364067381389
HiGHS_CMD	primal	1	8	0.08010101318359375	6.436406738141
HiGHS_CMD	dual	1	8	0.07331109046936035	6.436406738141
HiGHS_CMD	barrier	1	8	0.08356404304504395	6.436406738141
GLPK_CMD	primal	1	8	0.06934094429016113	6.43641
GLPK_CMD	dual	1	8	0.1042931079864502	6.43641
GLPK_CMD	barrier	1	8	0.10119819641113281	
COIN_CMD	primal	1	8	0.07561612129211426	6.4364067
COIN_CMD	dual	1	8	0.08205318450927734	6.4364051
COIN_CMD	barrier	1	8	0.08926606178283691	6.4364067
CPLEX_PY	primal	1	9	0.03331804275512695	2.204477830212539
CPLEX_PY	dual	1	9	0.03236699104309082	2.204477830212539
CPLEX_PY	barrier	1	9	0.032649993896484375	2.204477830212539
GUROBI	primal	1	9	0.018297195434570312	2.2044778302125385
GUROBI	dual	1	9	0.018539905548095703	2.204477830212538
GUROBI	barrier	1	9	0.022801876068115234	2.204477830212537
SCIP_CMD	primal	1	9	0.11206674575805664	2.20447783020999
SCIP_CMD	dual	1	9	0.1089637279510498	2.20447783020999
SCIP_CMD	barrier	1	9	0.10737490653991699	2.20447783020999
HiGHS_CMD	primal	1	9	0.059059858322143555	2.2044778302121
HiGHS_CMD	dual	1	9	0.05310797691345215	2.2044778302121
HiGHS_CMD	barrier	1	9	0.061006784439086914	2.2044778302121
GLPK_CMD	primal	1	9	0.051339149475097656	2.20448
GLPK_CMD	dual	1	9	0.06738996505737305	2.20448
GLPK_CMD	barrier	1	9	0.06725287437438965	
COIN_CMD	primal	1	9	0.058725833892822266	2.2044778
COIN_CMD	dual	1	9	0.062081098556518555	2.2044778
COIN_CMD	barrier	1	9	0.0659029483795166	2.2044778
CPLEX_PY	primal	2	0	0.08882308006286621	52.543955291632216
CPLEX_PY	dual	2	0	0.08807706832885742	52.543955291632216
CPLEX_PY	barrier	2	0	0.0870370864868164	52.543955291632216
GUROBI	primal	2	0	0.05031609535217285	52.543955291628826
GUROBI	dual	2	0	0.052536964416503906	52.54395529163029
GUROBI	barrier	2	0	0.06600117683410645	52.543955291611475
SCIP_CMD	primal	2	0	0.21830081939697266	52.5439552900097
SCIP_CMD	dual	2	0	0.21607303619384766	52.5439552900099
SCIP_CMD	barrier	2	0	0.2161850929260254	52.5439552900099
HiGHS_CMD	primal	2	0	0.14005184173583984	52.5439552907688
HiGHS_CMD	dual	2	0	0.1284630298614502	52.543955290768
HiGHS_CMD	barrier	2	0	0.15372800827026367	52.5439552907686
GLPK_CMD	primal	2	0	0.12314486503601074	52.544
GLPK_CMD	dual	2	0	0.22526216506958008	52.544
GLPK_CMD	barrier	2	0	0.23470091819763184	
COIN_CMD	primal	2	0	0.1111140251159668	52.543955
COIN_CMD	dual	2	0	0.15422892570495605	52.543554
COIN_CMD	barrier	2	0	0.14583396911621094	52.543955
CPLEX_PY	primal	2	1	0.08728909492492676	18.164000310321285
CPLEX_PY	dual	2	1	0.0861208438873291	18.164000310321285
CPLEX_PY	barrier	2	1	0.08482098579406738	18.164000310321285
GUROBI	primal	2	1	0.05512094497680664	18.16400031032129
GUROBI	dual	2	1	0.0575709342956543	18.164000310321278
GUROBI	barrier	2	1	0.11388587951660156	18.164000310321292
SCIP_CMD	primal	2	1	0.22515392303466797	18.1640003103197
SCIP_CMD	dual	2	1	0.22553682327270508	18.1640003103197
SCIP_CMD	barrier	2	1	0.22114992141723633	18.1640003103197
HiGHS_CMD	primal	2	1	0.14034271240234375	18.1640003103254
HiGHS_CMD	dual	2	1	0.12002110481262207	18.1640003103254
HiGHS_CMD	barrier	2	1	0.14110088348388672	18.1640003103254
GLPK_CMD	primal	2	1	0.11745977401733398	18.164
GLPK_CMD	dual	2	1	0.2286062240600586	18.164
GLPK_CMD	barrier	2	1	0.22330117225646973	
COIN_CMD	primal	2	1	0.11203885078430176	18.164
COIN_CMD	dual	2	1	0.16410589218139648	18.164
COIN_CMD	barrier	2	1	0.16596102714538574	18.164
CPLEX_PY	primal	2	2	0.08701682090759277	43.73709850474694
CPLEX_PY	dual	2	2	0.0868380069732666	43.73709850474694
CPLEX_PY	barrier	2	2	0.0879058837890625	43.73709850474694
GUROBI	primal	2	2	0.05329775810241699	43.7370985047484
GUROBI	dual	2	2	0.05654311180114746	43.73709850474721
GUROBI	barrier	2	2	0.0767831802368164	43.7370985047741
SCIP_CMD	primal	2	2	0.22473692893981934	43.7370985036475
SCIP_CMD	dual	2	2	0.22416305541992188	43.7370985036479
SCIP_CMD	barrier	2	2	0.2215571403503418	43.7370985036479
HiGHS_CMD	primal	2	2	0.1352548599243164	43.737098504168
HiGHS_CMD	dual	2	2	0.1168222427368164	43.7370985041642
HiGHS_CMD	barrier	2	2	0.15568995475769043	43.7370985042163
GLPK_CMD	primal	2	2	0.1229088306427002	43.7371
GLPK_CMD	dual	2	2	0.21833395957946777	43.7371
GLPK_CMD	barrier	2	2	0.22521495819091797	
COIN_CMD	primal	2	2	0.10963296890258789	43.737099
COIN_CMD	dual	2	2	0.1184999942779541	43.737518
COIN_CMD	barrier	2	2	0.13805294036865234	43.737098
CPLEX_PY	primal	2	3	0.09306907653808594	26.831240421940482
CPLEX_PY	dual	2	3	0.09397196769714355	26.831240421940482
CPLEX_PY	barrier	2	3	0.09150123596191406	26.831240421940482
GUROBI	primal	2	3	0.05768299102783203	26.831240421940496
GUROBI	dual	2	3	0.059310197830200195	26.831240421940507
GUROBI	barrier	2	3	0.1152200698852539	26.831240421940524
SCIP_CMD	primal	2	3	0.23380208015441895	26.8312404219267
SCIP_CMD	dual	2	3	0.23003005981445312	26.8312404219267
SCIP_CMD	barrier	2	3	0.22391819953918457	26.8312404219267
HiGHS_CMD	primal	2	3	0.16688990592956543	26.831240421938
HiGHS_CMD	dual	2	3	0.13071107864379883	26.831240421938
HiGHS_CMD	barrier	2	3	0.15470099449157715	26.831240421938
GLPK_CMD	primal	2	3	0.1294078826904297	26.8312
GLPK_CMD	dual	2	3	0.278339147567749	26.8312
GLPK_CMD	barrier	2	3	0.22786378860473633	
COIN_CMD	primal	2	3	0.12957000732421875	26.83124
COIN_CMD	dual	2	3	0.18407917022705078	26.831241
COIN_CMD	barrier	2	3	0.2344799041748047	26.83124
CPLEX_PY	primal	2	4	0.08666110038757324	47.79084624663812
CPLEX_PY	dual	2	4	0.08491182327270508	47.79084624663812
CPLEX_PY	barrier	2	4	0.08356189727783203	47.79084624663812
GUROBI	primal	2	4	0.05404090881347656	47.79084624663812
GUROBI	dual	2	4	0.057891130447387695	47.79084624663812
GUROBI	barrier	2	4	0.07370376586914062	47.79084624663812
SCIP_CMD	primal	2	4	0.2272639274597168	47.7908462466596
SCIP_CMD	dual	2	4	0.22321105003356934	47.7908462466596
SCIP_CMD	barrier	2	4	0.23360610008239746	47.7908462466596
HiGHS_CMD	primal	2	4	0.15229010581970215	47.7908462466342
HiGHS_CMD	dual	2	4	0.12221622467041016	47.7908462466342
HiGHS_CMD	barrier	2	4	0.15341782569885254	47.7908462466342
GLPK_CMD	primal	2	4	0.1195991039276123	47.7908
GLPK_CMD	dual	2	4	0.23656201362609863	47.7908
GLPK_CMD	barrier	2	4	0.2343769073486328	
COIN_CMD	primal	2	4	0.11266684532165527	47.790846
COIN_CMD	dual	2	4	0.13311195373535156	47.790846
COIN_CMD	barrier	2	4	0.16466903686523438	47.790846
CPLEX_PY	primal	2	5	0.0917348861694336	17.855755585661456
CPLEX_PY	dual	2	5	0.09170699119567871	17.855755585661456
CPLEX_PY	barrier	2	5	0.19807100296020508	17.855755585661456
GUROBI	primal	2	5	0.05768322944641113	17.855755585661484
GUROBI	dual	2	5	0.05835890769958496	17.85575558566148
GUROBI	barrier	2	5	0.1638801097869873	17.855755585661488
SCIP_CMD	primal	2	5	0.2421400547027588	17.8557555856594
SCIP_CMD	dual	2	5	0.23614001274108887	17.8557555856594
SCIP_CMD	barrier	2	5	0.23556184768676758	17.8557555856594
HiGHS_CMD	primal	2	5	0.16643190383911133	17.8557555856654
HiGHS_CMD	dual	2	5	0.13066315650939941	17.8557555856654
HiGHS_CMD	barrier	2	5	0.15223383903503418	17.8557555856654
GLPK_CMD	primal	2	5	0.13342881202697754	17.8558
GLPK_CMD	dual	2	5	0.2564210891723633	17.8558
GLPK_CMD	barrier	2	5	0.22047996520996094	
COIN_CMD	primal	2	5	0.11066770553588867	17.855756
COIN_CMD	dual	2	5	0.15498876571655273	17.855755
COIN_CMD	barrier	2	5	0.28666090965270996	17.855756
CPLEX_PY	primal	2	6	0.07935810089111328	6.965901695684487
CPLEX_PY	dual	2	6	0.07932806015014648	6.965901695684487
