interface	lpmethod	size	rep	time	value
CPLEX_PY	primal	1	0	0.04351401329040527	12.43061446119481
CPLEX_PY	dual	1	0	0.037078142166137695	12.430614461194814
CPLEX_PY	barrier	1	0	0.05129122734069824	12.430614461194805
GUROBI	primal	1	0	0.02992987632751465	12.430614461194805
GUROBI	dual	1	0	0.028169870376586914	12.430614461194814
GUROBI	barrier	1	0	0.044760942459106445	12.430614461194812
SCIP_CMD	primal	1	0	0.13089418411254883	12.4306144611864
SCIP_CMD	dual	1	0	0.1297910213470459	12.4306144611864
HiGHS_CMD	primal	1	0	0.07535004615783691	12.4306144611935
HiGHS_CMD	dual	1	0	0.06854081153869629	12.4306144611935
HiGHS_CMD	barrier	1	0	0.07884407043457031	12.4306144611935
GLPK_CMD	primal	1	0	0.06217026710510254	12.4306
GLPK_CMD	dual	1	0	0.08923697471618652	12.4306
GLPK_CMD	barrier	1	0	0.1138617992401123	
COIN_CMD	primal	1	0	0.06878900527954102	12.430614
COIN_CMD	dual	1	0	0.07621908187866211	12.430615
COIN_CMD	barrier	1	0	0.08072185516357422	12.430614
