interface	size	test	rep	time	value
COIN_CMD	1	LP2	8	0.1313309669494629	7213.967642638532
CPLEX_PY	1	LP	9	0.03056168556213379	19.97904382103033
GUROBI	1	LP	9	0.02187371253967285	19.979043821030327
SCIP_CMD	1	LP	9	0.11503481864929199	19.9790438210239
HiGHS_CMD	1	LP	9	0.061533212661743164	19.9790438210279
GLPK_CMD	1	LP	9	0.05721426010131836	19.979
COIN_CMD	1	LP	9	0.06677889823913574	19.979044
CPLEX_PY	1	LP2	9	0.1013021469116211	47019.27303815195
GUROBI	1	LP2	9	0.07932090759277344	47019.2730381518
SCIP_CMD	1	LP2	9	0.2782440185546875	47019.27303805986
HiGHS_CMD	1	LP2	9	0.16663217544555664	47019.27303816112
GLPK_CMD	1	LP2	9	0.17637395858764648	47019.0818444735
COIN_CMD	1	LP2	9	0.2529618740081787	47019.27349674886
CPLEX_PY	2	LP	0	0.08623099327087402	42.83714862487015
GUROBI	2	LP	0	0.06209301948547363	42.83714862487015
SCIP_CMD	2	LP	0	0.26903486251831055	42.8371486249373
HiGHS_CMD	2	LP	0	0.13893985748291016	42.8371486248639
GLPK_CMD	2	LP	0	0.13702821731567383	42.8371
COIN_CMD	2	LP	0	0.12931275367736816	42.837149
CPLEX_PY	2	LP2	0	0.29402995109558105	87878.7808202336
GUROBI	2	LP2	0	0.22927403450012207	87878.78082023397
SCIP_CMD	2	LP2	0	0.743243932723999	87878.7808203627
HiGHS_CMD	2	LP2	0	0.42562198638916016	87878.78082022781
GLPK_CMD	2	LP2	0	0.7645559310913086	87878.68962445122
COIN_CMD	2	LP2	0	0.56072998046875	87878.78173443793
CPLEX_PY	2	LP	1	0.04909491539001465	0.9471694577332309
GUROBI	2	LP	1	0.03560185432434082	0.947169457733231
SCIP_CMD	2	LP	1	0.16244196891784668	0.947169457732068
HiGHS_CMD	2	LP	1	0.08752584457397461	0.9471694577331
GLPK_CMD	2	LP	1	0.07936620712280273	0.947169
COIN_CMD	2	LP	1	0.08538174629211426	0.94716946
