interface	replicate	value	time
GUROBI	0	834269.0238062895	0.4747638702392578
SCIP_CMD	0	834269.0238062898	2.020751953125
HiGHS_CMD	0	834269.0238062895	0.6370339393615723
GLPK_CMD	0	834269.0218312506	2.028398036956787
COIN_CMD	0	834269.0237352194	0.5377421379089355
GUROBI	1	793397.4764614365	0.3911018371582031
SCIP_CMD	1	793397.4764614366	2.0019960403442383
HiGHS_CMD	1	793397.4764614364	0.6119050979614258
GLPK_CMD	1	793397.4745728174	2.08558988571167
COIN_CMD	1	793397.476424656	0.5107369422912598
GUROBI	2	794599.5468224732	0.43627500534057617
SCIP_CMD	2	794599.5468224733	1.9152839183807373
HiGHS_CMD	2	794599.5468224735	0.6118509769439697
GLPK_CMD	2	794599.5411115839	2.1181092262268066
COIN_CMD	2	794599.546786198	0.5138490200042725
GUROBI	3	844584.2935262076	0.4267268180847168
SCIP_CMD	3	844584.2935262074	2.007668972015381
HiGHS_CMD	3	844584.2935262074	0.6204609870910645
GLPK_CMD	3	844584.2926741478	2.072035074234009
COIN_CMD	3	844584.2935210755	0.49444007873535156
GUROBI	4	806395.0179717708	0.4022698402404785
SCIP_CMD	4	806395.0179717708	1.9308538436889648
HiGHS_CMD	4	806395.0179717708	0.6198830604553223
GLPK_CMD	4	806395.0172831202	2.1134259700775146
COIN_CMD	4	806395.0179541829	0.49925708770751953
GUROBI	5	818088.9737385764	0.39698100090026855
SCIP_CMD	5	818088.9737385763	1.9991967678070068
HiGHS_CMD	5	818088.9737385765	0.6205708980560303
GLPK_CMD	5	818088.9769299905	2.0683720111846924
COIN_CMD	5	818088.9737649555	0.5225222110748291
GUROBI	6	809490.461088858	0.4881308078765869
SCIP_CMD	6	809490.461088858	2.0122480392456055
HiGHS_CMD	6	809490.4610888577	0.62351393699646
GLPK_CMD	6	809490.4565501565	2.0367848873138428
COIN_CMD	6	809490.4610906941	0.5030088424682617
GUROBI	7	816077.1865894222	0.39232707023620605
SCIP_CMD	7	816077.186589422	1.9826040267944336
HiGHS_CMD	7	816077.1865894222	0.608386754989624
GLPK_CMD	7	816077.1813249087	2.1193511486053467
COIN_CMD	7	816077.1866079795	0.5155870914459229
GUROBI	8	813886.3296699886	0.4948408603668213
SCIP_CMD	8	813886.3296699886	1.8214690685272217
HiGHS_CMD	8	813886.3296699886	0.6105577945709229
GLPK_CMD	8	813886.3322376726	2.0947608947753906
COIN_CMD	8	813886.3296545526	0.5334410667419434
GUROBI	9	825022.7196468973	0.42136383056640625
SCIP_CMD	9	825022.7196468974	1.9568159580230713
HiGHS_CMD	9	825022.7196468976	0.7007927894592285
GLPK_CMD	9	825022.7204632512	2.1044750213623047
COIN_CMD	9	825022.7197015915	0.4999721050262451
GUROBI	10	842070.5745807771	0.39105772972106934
SCIP_CMD	10	842070.5745807771	1.945288896560669
HiGHS_CMD	10	842070.5745807771	0.6159050464630127
GLPK_CMD	10	842070.5756809255	2.1173360347747803
COIN_CMD	10	842070.5745722648	0.5006210803985596
GUROBI	11	834221.205123214	0.4212820529937744
SCIP_CMD	11	834221.2051232142	1.9834530353546143
